Customer_ID;Age;Sex;Marital_Status;Education;Income;Customer_Rating;Persons_in_Household;Occupation;Groceries
1;75;male;married;primary;20000;very_good;3;retired;citrus fruit,semi-finished bread,margarine,ready soups
2;61;female;single;secondary;28000;good;1;housemaid;tropical fruit,yogurt,coffee
3;32;male;single;secondary;34000;very_good;1;blue-collar;whole milk
4;62;male;married;primary;31000;very_good;3;blue-collar;pip fruit,yogurt,cream cheese,meat spreads
5;66;female;married;secondary;19000;good;3;retired;other vegetables,whole milk,condensed milk,long life bakery product
6;55;female;single;secondary;35000;very_good;1;unemployed;whole milk,butter,yogurt,rice,abrasive cleaner
7;23;female;married;tertiary;21000;good;3;housemaid;rolls/buns
8;26;female;single;secondary;30000;good;2;blue-collar;other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer)
9;29;female;married;secondary;32000;very_good;3;blue-collar;potted plants
10;57;female;married;secondary;26000;good;3;entrepreneur;whole milk,cereals
11;55;female;married;tertiary;30000;very_good;2;entrepreneur;tropical fruit,other vegetables,white bread,bottled water,chocolate
12;57;female;married;tertiary;14000;very_good;3;blue-collar;citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes
13;28;male;divorced;tertiary;30000;fair;1;self-employed;beef
14;40;male;married;primary;13000;fair;3;entrepreneur;frankfurter,rolls/buns,soda
15;53;female;divorced;tertiary;9000;very_good;1;entrepreneur;chicken,tropical fruit
16; ;female;married;tertiary;25000;good;4;entrepreneur;butter,sugar,fruit/vegetable juice,newspapers
17;68;female;married;secondary; ;good;3;retired;fruit/vegetable juice
18;32;male;married;primary;16000;very_good;3;entrepreneur;packaged fruit/vegetables
19;33;male;single;primary;18000;very_good;1;blue-collar;chocolate
20;23;male;married;tertiary;23000;fair;3;entrepreneur;specialty bar
21;79;female;single;primary;39000;good;1;retired;other vegetables
22;54;male;married;tertiary;34000;very_good;4;management;butter milk,pastry
23;51;male;single;primary;41000;good;1;entrepreneur;whole milk
24;60;male;single;tertiary;30000;fair;1;management;tropical fruit,cream cheese,processed cheese,detergent,newspapers
25;69;male;married;secondary;34000;excellent;2;retired;tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner
26;47;male;single;secondary;40000;good;1;entrepreneur;bottled water,canned beer
27; ;female;married;primary;10000;excellent;3;housemaid;yogurt
28;43;male;single;tertiary; ;poor;1;self-employed;sausage,rolls/buns,soda,chocolate
29;46;male;married;primary;33000;good;3;unemployed;other vegetables
30;28;female;married;secondary;25000;good;3;management;brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags
31;24;male;married;primary;35000;poor;4;services;yogurt,beverages,bottled water,specialty bar
32;65;male;divorced;primary;33000;excellent;1;retired;hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins
33;81;female;married;tertiary;8000;good;2;retired;root vegetables,other vegetables,whole milk,beverages,sugar
34;26;male;married;tertiary;18000;very_good;5;entrepreneur;pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner
35;82;female;single;secondary;29000;good;1;unknown;beef,grapes,detergent
36;32;male;married;tertiary;26000;fair;4;blue-collar;pastry,soda
37;38;female;married;tertiary; ;very_good;3;unemployed;fruit/vegetable juice
38;53;female;married;primary;25000;fair;4;housemaid;canned beer
39;44;male;divorced;tertiary;37000;fair;1;self-employed;root vegetables,other vegetables,whole milk,dessert
40;49;male;married;primary;36000;very_good;4;management;citrus fruit,zwieback,newspapers
41;48;female;married;primary;13000;good;2;entrepreneur;sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags
42;27;female;single;secondary;23000;good;1;blue-collar;tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy
43;55;male;married;primary;18000;very_good;3;self-employed;berries,yogurt
44;35;female;married;tertiary;40000;good;3;housemaid;canned beer
45;75;female;married;tertiary;30000;fair;4;retired;butter milk,yogurt,cream cheese,spread cheese,rolls/buns,bottled water,soda,newspapers
46;44;male;married;secondary;37000;very_good;4;self-employed;coffee
47;63;male;married;tertiary;26000;good;3;entrepreneur;pastry,bottled water
48;80;male;divorced;tertiary;34000;very_good;1;retired;rolls/buns
49;55;male;divorced;tertiary;27000;good;1;blue-collar;misc. beverages
50;41;male;divorced;tertiary;30000;fair;2;services;root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product
51;23;female;single;secondary;22000;very_good;1;management;sausage,rolls/buns,cat food,newspapers
52;78;female;married;tertiary;26000;poor;3;retired;canned beer
53;37;female;married;primary;34000;good;4;housemaid;ham,grapes,other vegetables,whole milk
54;21;female;single;tertiary;30000;fair;2;housemaid;turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice
55;36;male;married;secondary;30000;poor;3;entrepreneur;whole milk,yogurt,processed cheese,pickled vegetables,soda
56;71;female;divorced;primary;32000;very_good;1;retired;whole milk,curd,yogurt,pastry
57;85;male;divorced;secondary;38000;poor;1;retired;packaged fruit/vegetables,brown bread,canned beer
58;34;female;married;primary;17000;fair;2;housemaid;rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins
59;30;female;married;secondary;32000;very_good;3;housemaid;ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food
60;32;male;married;primary;19000;good;3;self-employed;rolls/buns,pastry,sugar
61; ;male;married;primary;37000;good;2;entrepreneur;other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent
62;85;female;married;tertiary;42000;fair;2;retired;sausage,pastry
63;50;male;married;secondary;28000;fair;3;blue-collar;sausage,beef,whole milk
64;26;male;married;secondary;29000;fair;3;blue-collar;frankfurter,tropical fruit,rolls/buns,brown bread,sugar
65;85;female;single;primary;24000;fair;1;retired;rolls/buns,pastry,soda
66;83;female;married;tertiary;23000;very_good;2;retired;whole milk
67;64;male;married;tertiary;28000;very_good;3;self-employed;curd cheese,coffee
68;81;male;single;secondary;34000;very_good;2;retired;red/blush wine,newspapers
69; ;female;single;secondary;27000;very_good;1;services;sausage,whole milk,curd
70;81;male;single;primary;38000;poor;1;retired;tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate
71;36;male;married;secondary;9000;poor;2;blue-collar;red/blush wine
72;74;male;married;tertiary;41000;fair;3;retired;whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds)
73;78;female;divorced;tertiary;32000;very_good;2;retired;frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers
74;38;male;married;secondary;32000;good;3;unknown;whole milk,meat spreads,soda
75;70;male;single;primary;31000;fair;1;retired;frozen potato products
76;81;male;single;secondary;33000;fair;1;retired;other vegetables,whole milk,rolls/buns,sugar
77;48;male;married;tertiary;35000;good;3;blue-collar;citrus fruit,whole milk,curd,butter milk,pastry
78;25;female;married;primary;22000;good;3;housemaid;flour,salt,bottled water,fruit/vegetable juice,bottled beer
79;68;female;married;primary;30000;poor;2;retired;sugar,bottled water,soda,bottled beer
80;62;female;married;secondary;31000;poor;5;management;frozen meals,coffee
81;53;female;married;primary;28000;good;4;housemaid;chocolate
